## Torsion are defined with the following atomIDs:
# dihed1: ai= 21 aj= 20 ak= 19 al= 15
# dihed2: ai= 20 aj= 19 ak= 15 al= 16
# dihed3: ai= 14 aj= 13 ak= 11 al= 1
# dihed4: ai= 13 aj= 11 ak= 1 al= 2
# dihed5: ai= 6 aj= 5 ak= 28 al= 29
# dihed6: ai= 10 aj= 9 ak= 30 al= 36
# dihed7: ai= 18 aj= 17 ak= 25 al= 26
# dihed8: ai= 17 aj= 25 ak= 26 al= 27
# dihed9: ai= 15 aj= 16 ak= 22 al= 23
# dihed10: ai= 16 aj= 22 ak= 23 al= 24
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10
110  174.996   70.556 -138.900   48.082 -133.452  144.128   74.434  133.630   73.756  146.722
111  159.091   46.306 -140.691   56.526 -177.742  171.738   93.321 -102.114   97.332  114.861
112  152.618   27.260 -135.294   59.533 -147.275  167.259   24.481  162.873  120.584  -57.057
113  150.928   48.877 -145.533   70.386 -133.322  143.749   16.709  153.466  115.426  -75.795
114  151.317   49.050 -120.223   42.748 -146.448  153.851   20.296 -170.396  100.737  -67.149
115  142.790   57.389 -140.318   43.277  150.169  143.245  117.234  179.777   97.832  117.821
116  163.119   29.837 -125.276   51.361 -157.975  153.131   41.706  165.405  125.695 -134.614
117  149.261   56.633 -135.806   57.149 -158.675  140.503  151.919  176.559  113.705  -74.661
118  151.340   54.202 -135.659   55.854 -174.955  139.992    3.233   85.246   67.401   70.046
119  156.346   43.735 -131.758   75.674 -174.756  131.925   40.625  173.741  109.683 -100.476
120  160.173   47.717 -140.112   51.756 -161.123  129.301  127.284 -148.273  110.809  -80.140
121  164.545   22.741 -138.525   49.600 -175.368  150.332   43.649  168.233  134.944  -91.515
122  155.372   55.666 -144.538   63.926 -178.166  140.336  102.755  138.387  115.175  -45.420
123 -175.682   53.461 -133.374   56.584 -163.967  146.369   17.939  178.907  129.620  -71.086
124  147.256   47.766 -115.225   47.117  169.360  147.621   34.559 -175.447   98.034  -87.198
125  162.270   14.604 -131.177   56.839  172.406  148.916   34.868  149.227  106.449  -86.125
126  179.588    7.897 -136.376   58.181 -137.246  148.196   68.065  166.295   89.419   72.573
127  158.869   62.433 -136.430   50.661  165.441  160.884    0.678  179.750  118.035  -30.264
128  160.536   45.622 -137.928   49.703 -146.787  138.473   39.361  159.784  124.589  -95.517
129  161.519   72.703 -125.080   54.187 -179.869  148.603   29.076  145.345  107.834  -76.164
130  147.006   31.661 -132.737   62.486 -172.765  170.235   27.038 -179.493  111.251  -57.142
131  160.515   40.372 -128.275   59.637  173.935  151.164   27.756  161.220  112.140  -53.711
132  164.321   28.167 -130.403   53.621  175.121 -149.272   59.089  170.821   92.421   88.698
133  169.152   25.700 -131.964   48.072  174.632  139.964   25.073  165.278  112.257  -77.330
