## Torsion are defined with the following atomIDs:
# dihed1: ai= 13335 aj= 13334 ak= 13330 al= 13331
# dihed2: ai= 13329 aj= 13328 ak= 13326 al= 13313
# dihed3: ai= 13328 aj= 13326 ak= 13313 al= 13318
# dihed4: ai= 13323 aj= 13324 ak= 13340 al= 13341
# dihed5: ai= 13333 aj= 13332 ak= 13338 al= 13339
# dihed6: ai= 13330 aj= 13331 ak= 13336 al= 13337
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6
175   -7.311 -138.866  117.264 -127.164   10.033 -116.290
176  -31.456 -133.832  118.305 -109.191  -13.607  115.702
177  -49.799 -145.714  103.306 -123.645   -7.765 -101.070
178  -46.568 -131.332  101.475 -136.264   -0.479  -87.677
179  -56.098 -139.239  103.293 -127.304   -3.673  -93.246
180  -53.191 -146.540  108.802 -134.217    3.984  -72.165
181  -26.591 -143.697  106.245 -125.855   32.053  -82.934
182   -1.923 -142.027  117.030 -129.191  -14.418  116.960
183  -61.308 -161.418  114.739 -125.636   -8.621  -50.051
184  -91.244 -155.324  125.961 -133.046  -12.588  -77.805
185  -49.709 -130.202  101.092 -139.041  -20.409 -104.148
186  -50.069 -151.688  115.712 -130.562  -41.483  -61.978
187  -68.201 -154.083  121.976 -129.663    1.185  -70.138
188    1.019  177.518   94.515 -115.915   27.267 -113.616
189   39.440  178.637  100.726 -132.383 -106.384 -141.972
190   63.719 -160.458   86.259 -129.623   40.715   50.026
191   84.450 -168.072   59.213 -145.029  -47.046   44.250
192   58.593  165.666   91.924 -128.989   16.293   54.790
193   40.048  157.618  104.896 -126.243   32.219   78.447
194   68.467  179.945   86.870 -128.901  -16.212   64.030
195   56.089  161.330  108.309 -127.995   25.625   73.581
196   32.028  174.230   83.837 -111.796  -13.164  103.159
197   51.421  179.449   77.944 -127.362   -9.707   69.795
198   47.240  158.679   95.376 -119.930   75.432  144.658
199   77.414 -151.706   68.765 -128.474   24.381   59.475
200   61.070  163.062   90.775 -113.701    0.418   67.873
201   62.728 -166.481   85.327 -123.364   -1.051   92.242
202   44.830 -144.817   78.211 -130.304   21.096   27.658
203   77.742 -173.605   84.470 -112.469   71.958   61.833
204   51.542  171.649   92.701 -120.796   10.224   67.840
205   41.507 -162.874   92.744 -131.716   52.777   69.170
206   48.007 -169.907   72.834 -137.415   32.494  132.715
207   64.304 -175.447   80.228 -108.855    5.323   60.493
208   52.644  167.545  103.758 -130.146   30.705   97.824
209   65.286 -175.391   82.810 -122.192    2.023   80.401
210   58.071  166.399   94.752 -126.914  128.624   91.386
211   52.239  170.192   92.238 -125.089  156.985   82.270
212   34.777  179.106   96.534 -137.055   17.486   87.158
213   89.890  170.971   86.594 -131.858  -14.587  108.286
214   17.466 -160.501   91.373 -116.995   -0.674  122.199
215   35.506 -169.594   81.909 -132.379   -5.776   90.360
216   31.733  161.454  100.114 -139.565   29.758  104.974
217   58.050 -170.210   82.806 -101.785   56.600   64.187
218   39.993 -174.776   81.385 -111.407   44.331   98.504
219   40.708 -171.388   81.381 -126.801   80.686  162.312
220   47.048 -157.086   63.418 -141.716   12.926   72.285
221   53.578  153.301  100.519 -122.437   11.793  127.505
222   57.021  158.776   88.984 -114.317  -27.020   55.747
223   38.984  169.306   87.903 -121.675  -23.887   90.475
224   86.977 -177.768   73.098 -125.803 -109.948   68.517
225   53.577  157.502  112.371 -117.875  -67.946   95.803
226   49.631  149.641   92.921 -102.742  -31.275  102.030
227   25.319  177.393   83.037 -129.679  -32.860  104.290
228   41.623 -148.519   90.376 -110.781   -0.423   92.740
229   45.032 -164.926   69.296 -113.843   25.966   87.213
230   29.497 -159.829   76.629 -129.155    8.894   83.184
231   54.526 -139.426   68.679 -129.957   42.484   74.645
232   40.867 -166.462   78.717 -130.402  133.235   73.942
233   45.726 -146.645   80.719 -119.986   81.889 -165.934
234  -20.811 -156.719   77.143 -128.987  -39.807  117.325
235  -56.057 -145.420   75.965 -123.898   -0.660  129.533
236  -97.078 -161.239   81.080 -138.427   67.159  103.064
237   23.955 -138.846   69.715 -132.365   14.540   86.830
238  -56.757 -165.509   79.076 -114.985   13.017  126.458
239    8.882 -172.627   79.692 -124.688  -13.252  114.444
240   -2.046 -167.542   84.132 -118.699   22.648   96.465
241  -64.397 -173.393   79.229 -140.808  116.773  131.726
242   -9.315 -137.807   81.327 -105.274    1.549  103.138
243   52.796 -156.025   82.133  -89.562  -36.258  170.224
244    8.550 -154.511   78.386 -139.490    4.452  103.914
245   34.428 -151.828   60.000 -120.254  -33.721  131.036
246   47.240 -166.959   83.860 -116.627   -9.714   82.228
247   67.783 -169.659   80.263 -124.483  145.740   74.043
248   50.346 -159.754   64.346 -126.479   42.719   74.120
249   17.036 -153.257   69.979 -107.116   30.159  111.205
250  -45.416 -145.955   94.541 -108.653   -7.239  119.720
251  -66.622 -141.137   86.970 -115.616  -24.977  144.058
252  -67.859 -137.922   84.876 -124.643   -4.060 -112.692
253  167.546 -126.174  118.401 -116.311 -102.672 -127.293
254 -166.058 -144.991  126.961 -112.490  -10.822  -94.264
255  173.393 -122.541  112.383 -138.904 -134.514 -109.949
256  -57.768 -136.685  117.179 -116.207  -28.135  -69.344
257   48.787 -166.946  122.825 -140.198  -20.605 -143.781
258  -14.727 -150.272  128.411 -115.936   11.291 -103.072
259  -66.252 -151.726  134.318 -106.415  -57.457  -49.172
260  -67.922 -139.637  121.943 -136.750 -115.314  -70.130
261  -53.915 -144.305  107.446 -128.897   -6.861  -92.429
262  -77.537 -129.524  115.280 -119.498  -24.692 -126.213
263    5.365 -176.008  115.671 -125.171  -25.976 -115.246
264  -44.391 -134.148  114.729 -124.288  -31.850  -68.146
265  -42.734 -153.065   92.439 -135.153    1.390  -86.515
266  -52.448 -145.841  123.655 -139.129  -18.301  -89.928
267   -7.413 -135.287   98.523 -137.789   -2.770  -99.580
268  -68.930 -143.505  114.562 -127.585  -20.493 -123.706
269  -64.110 -148.646  119.849 -128.180   -0.855  -42.954
270  -67.261 -162.625  116.682 -133.739  -59.886  -55.619
271  -43.754 -139.537   95.896 -147.664   49.845  -70.784
272  -61.917 -143.246   99.564 -133.489   -3.161 -134.342
273  -64.261 -141.446  130.293 -127.959  -40.363  -83.902
274  -55.304 -159.935  131.168 -124.082    0.925  -45.301
275  -27.701 -137.491  107.723 -111.684   -6.776  -84.485
276  -77.641 -150.155  116.941 -103.779  -10.327  -47.088
277  -59.802 -150.581  123.051 -124.135  -28.486  174.132
278 -168.345 -154.045  128.432 -120.966    1.764  -65.115
279  -54.507 -145.489  113.143 -128.779  -29.703  132.734
280  -27.480 -154.152  120.879 -136.588  -28.116  124.940
281  -61.746 -131.550   82.904 -146.743   -8.455  -66.671
282  -48.867 -151.097  109.173 -132.849  -36.264  -66.816
283  -81.534 -146.217  117.585 -144.290  -54.076  -55.698
284  -50.846 -155.049  126.334 -130.179  -38.100  -49.361
285  -60.752 -147.462  114.266 -124.888  160.298  -43.962
286 -153.067 -119.664  100.856 -129.591 -149.836  -98.457
287 -142.435 -141.893  123.311 -132.554 -155.504  -62.435
288 -109.777 -140.709  107.350 -132.068 -153.797  -58.476
289 -165.221 -126.795  116.927 -114.175 -147.191  -83.769
290 -145.295  -97.718   89.896 -128.882 -113.643 -109.720
291 -179.874  -74.053   93.616 -135.061 -131.574  -87.459
292  159.693  -74.323   85.406 -114.939 -119.410  -53.158
293  -52.859 -105.750   78.028 -146.003 -175.525  -61.614
294  -83.969 -104.034   71.316 -127.031   20.424  -55.125
295  -82.807 -119.075   73.246 -144.433  -25.834  -88.245
296 -169.893  -98.357  100.985 -121.699 -124.026  -99.010
297  -93.506 -101.308   81.878 -130.531    0.467  -61.304
298 -167.159  -97.153   82.461 -124.346  -50.121  -75.673
299 -141.968 -103.334   81.229 -122.558 -126.274  -44.957
300  167.903  -76.132   87.850 -131.872 -158.653  -77.859
301 -128.880  -86.812   87.108 -117.154  -79.406  -92.138
302 -161.441 -103.502   94.484 -113.350 -159.179  -51.257
303 -138.256 -111.024   72.470 -140.556  -35.414  -93.612
304 -142.886 -127.207  127.427 -137.279 -135.850   23.020
305  -55.705  -97.375   61.035 -146.752   18.703  -48.799
306  -49.713 -137.532   70.282 -144.919   -8.082  -83.212
307  -94.310  -94.922   58.839 -133.719   -3.367  -57.676
308 -155.568  -94.711   81.172 -139.395  179.200  -56.464
309 -165.084  -62.036   82.786 -130.168  -79.442 -136.034
310  171.335  -73.663   75.576 -112.533    5.207  -48.796
311  -89.688 -132.085   77.192 -131.632   41.803  -53.802
312 -176.775  -83.375   88.831 -125.938 -146.158  -69.861
313 -172.605  -76.998   81.715 -115.838 -100.695  -53.875
314 -162.839  -96.162   83.601 -128.209  175.194  -44.389
315 -105.197 -125.001   92.535 -115.904 -122.101  -73.942
316 -121.092 -114.306   79.701 -106.222  146.448  -46.198
317 -169.541  -99.451   88.083 -120.384 -164.977  -68.463
318 -171.637 -112.023   92.322 -129.070  174.423  -56.946
319 -102.452 -123.162   90.041 -125.415   15.221  -33.736
