## Torsion are defined with the following atomIDs:
# dihed1: ai= 8399 aj= 8398 ak= 8397 al= 8393
# dihed2: ai= 8398 aj= 8397 ak= 8393 al= 8394
# dihed3: ai= 8392 aj= 8391 ak= 8389 al= 8379
# dihed4: ai= 8391 aj= 8389 ak= 8379 al= 8384
# dihed5: ai= 8382 aj= 8383 ak= 8406 al= 8407
# dihed6: ai= 8386 aj= 8387 ak= 8408 al= 8414
# dihed7: ai= 8396 aj= 8395 ak= 8403 al= 8404
# dihed8: ai= 8395 aj= 8403 ak= 8404 al= 8405
# dihed9: ai= 8393 aj= 8394 ak= 8400 al= 8401
# dihed10: ai= 8394 aj= 8400 ak= 8401 al= 8402
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10
96 -167.592  156.753 -153.988  -93.595   16.748  144.368    7.532  158.510  -80.212 -157.551
97  175.343  176.006 -167.182 -100.893   -7.929 -158.004  110.021  -92.617  -38.816 -135.980
98  168.919 -175.495 -166.581 -108.424   14.413 -131.374   92.635  -76.010  -27.393 -149.762
99 -165.810 -176.295 -141.617 -111.331  -28.669  155.639   22.846  124.623  -30.544 -159.241
100 -136.711  151.384 -137.997 -104.658   21.615  137.959   26.684   71.975  -64.203 -124.433
101  170.736  110.307 -133.561 -126.218   -0.889  134.814   36.435  136.643 -139.656  138.270
102  164.577 -163.300 -143.198 -114.488  -14.258  152.162   29.800  -83.872  -62.699 -110.512
103 -178.783  171.471 -132.567 -125.609    1.518  137.396   25.986   59.274  -76.484 -118.448
104 -161.375  164.918 -133.341 -110.938   26.206  158.709   94.578  -86.508  -35.780 -143.760
105  172.521  177.507 -159.366 -109.695  -20.030  131.524   27.503   65.221 -100.963  144.816
106 -168.453    3.633 -144.233 -125.172 -176.502  138.393   30.008   73.038  -99.570  158.971
107  176.978   17.966 -146.299 -105.480   16.395  153.780   18.908  139.382 -114.620  144.910
108 -160.113  152.504 -132.669 -111.723   40.673  147.794   14.637   69.327  -80.938 -124.837
109  175.682  168.187 -143.862 -111.976   10.631  153.699   73.215 -165.779  -49.695 -131.208
110  162.156 -172.364 -141.128 -119.200   -5.224  154.679   13.592   64.589 -101.520 -174.588
111  170.636 -160.056 -149.099  -98.496   36.012  148.321   44.050   66.109  -81.818 -130.339
112 -176.050  164.323 -142.919 -104.029   -3.040  143.824  101.499  -83.142  -61.592 -144.639
113  168.701  172.396 -145.396 -101.605   -4.363  139.698   22.360  146.374  -88.505 -142.825
114  166.484 -177.235 -157.566  -97.990   24.058  146.435   30.021   62.629  -50.062 -137.010
115 -168.487  171.666 -148.786  -95.011   13.741  153.846   44.920  133.019  -88.347 -165.242
116 -160.099  177.186 -157.726 -106.223  -16.459  157.876   94.182 -127.621  -51.538 -148.213
117 -174.945 -171.025 -152.159 -118.636   19.761  150.169  103.054  -86.759  -31.610 -151.115
118  179.959  164.573 -142.571 -104.825   35.725  157.176   19.179  167.344  -33.514 -160.115
119 -169.126  149.037 -143.062 -102.615    8.903  153.746   28.638  169.304  -47.954 -147.882
120 -172.980  160.558 -147.948 -112.334   20.030  165.604   25.185   73.186  -71.503 -111.672
121 -177.432 -171.977 -147.999 -111.298   16.158  157.970   40.580   54.778  -42.157 -148.878
122  174.724  176.817 -158.859 -102.501    2.119  159.106   91.634  -94.429  -81.966  172.963
123  168.952 -166.027 -169.526 -108.698    8.533  140.818   11.233   64.633  -63.081 -138.167
124  147.431  132.965 -146.777 -114.260   -9.433  149.179   33.117  144.531  -48.831 -146.156
125 -162.781  141.135 -151.238 -102.255    3.444  168.484  108.222  -97.015  -46.194 -137.186
126  170.653 -170.928 -155.011 -106.065  -22.139  149.246   94.301  -69.326  -50.046 -129.483
127  173.786  157.119 -161.871  -95.953  -13.059  143.657    8.572   73.674  -29.486 -159.997
128 -170.863  177.104 -143.894 -109.002   -7.442  140.447  100.888  -77.436  -50.837 -143.777
129  169.963 -166.588 -147.808  -99.894   -9.246  154.788   46.838   67.735  -67.102 -157.923
130 -160.374  161.393 -155.777  -99.792   25.693  142.265  108.386  -83.704  -46.171 -145.739
131 -173.401  179.934 -148.293  -99.417  -13.445  143.306   45.873   51.589  -84.899 -164.974
132  159.597  139.625 -153.577 -114.544   -3.325  133.685   47.659   95.554  -70.744 -129.398
133  163.116 -171.761 -159.570 -100.638   21.228  138.127   79.657 -173.014  -50.420 -125.955
134  179.036  178.154 -146.279  -94.117   13.640  146.159   48.265   79.800  -82.919  175.027
135  147.107 -149.665 -157.363 -109.811   44.031  144.145   80.074 -100.399  -44.900 -127.510
136  161.474 -167.317 -153.513 -112.420    3.014  153.178   29.144  130.071  -88.708 -139.091
137  178.390  173.152 -140.785  -99.241   16.187  146.034   35.760   60.998  -60.193 -130.635
138 -176.242  157.420 -152.360  -83.351   33.909  137.668   25.808  163.223  -65.508 -125.408
139 -178.368  161.673 -145.173 -104.068   17.928  144.455   34.782  141.645  -48.030 -144.185
140  171.359 -163.138 -147.255 -110.797   23.835  144.333   40.565   59.500  -81.637  157.162
141 -175.601  172.480 -153.258 -126.659   -9.860  158.459   29.316  170.828  -79.286 -135.143
142 -179.826  150.950 -143.668  -84.993 -158.471  134.966   -6.148   84.598 -107.580  110.254
143 -175.140 -175.805 -157.155  -88.125 -156.816  158.389   12.458   57.031  -60.493 -125.362
144  177.793  178.046 -156.617  -97.684    6.156  155.152   52.524  143.875  -49.964 -130.691
145  110.898  155.698 -145.231 -103.840 -178.195  148.870    8.114   75.157  -71.570 -110.849
