  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      179        1.508        5.362            0      484.711       34.880       66.683
      180        1.653        5.392            0      484.569       30.869       69.137
      181        1.823        5.421            0      490.229       35.941       63.166
      182        1.655        5.329            0      477.077       32.007       68.002
      183        1.594        5.537            0      484.014       36.348       71.324
      184        1.660        5.416            0      484.096       34.360       72.359
      185        1.910        5.331            0      482.314       35.211       66.837
      186        1.594        5.255            0      484.103       36.130       67.599
      187        1.731        5.330            0      477.110       32.261       75.449
      188        1.572        5.461            0      482.189       32.751       80.745
      189        1.675        5.530            0      484.621       43.915       69.453
      190        1.415        5.538            0      484.010       38.860       72.190
      191        1.381        5.757            0      488.197       19.043       71.696
      192        1.489        5.468            0      481.346       22.707       79.181
      193        1.572        5.494            0      477.879       26.209       81.928
      194        1.424        5.623            0      486.020       32.444       71.910
      195        1.488        5.764            0      483.731       26.008       66.237
      196        1.549        5.604            0      474.608       33.473       79.487
      197        1.572        5.748            0      478.156       31.445       76.531
      198        1.566        5.759            0      485.611       27.707       74.170
      199        1.467        5.630            0      481.021       27.908       74.226
      200        1.439        5.784            0      478.969       30.217       74.756
      201        1.630        5.737            0      483.528       25.472       74.256
      202        1.367        5.731            0      482.608       20.592       71.535
      203        1.587        5.838            0      478.968       29.455       73.472
      204        1.579        5.821            0      483.372       38.422       70.709
      205        1.360        5.734            0      485.485       37.751       76.738
      206        1.449        5.624            0      480.272       30.494       77.350
      207        1.675        5.810            0      480.804       52.730       79.036
      208        1.465        5.725            0      488.876       49.345       71.889
      209        1.586        5.741            0      481.475       32.641       75.016
      210        1.499        5.796            0      481.694       43.910       81.607
      211        1.468        5.674            0      481.716       59.706       75.844
      212        1.308        5.794            0      482.299       28.603       65.688
      213        1.579        5.881            0      486.703       54.802       63.753
      214        1.438        5.813            0      479.774       35.909       76.979
      215        1.550        5.927            0      481.651       38.637       70.388
      216        1.517        5.788            0      486.088       55.714       73.166
      217        1.563        5.807            0      487.901       34.389       72.363
      218        1.562        5.494            0      490.840       29.622       70.661
      219        1.709        5.562            0      485.717       45.802       75.709
      220        1.497        5.575            0      486.719       38.717       67.720
      221        1.595        5.557            0      486.651       46.629       63.897
      222        1.661        5.614            0      485.100       55.149       69.126
      223        1.354        5.506            0      484.645       35.401       74.837
      224        1.529        5.530            0      481.878       50.023       68.356
      225        1.557        5.614            0      482.000       56.146       62.223
      226        1.437        5.731            0      481.144       61.481       71.394
      227        1.456        5.529            0      484.196       53.743       66.617
      228        1.199        5.551            0      483.531       35.814       69.704
      229        1.367        5.518            0      488.914       28.757       66.506
      230        1.496        5.530            0      484.753       27.836       64.797
      231        1.608        5.493            0      481.419       31.633       63.232
      232        1.646        5.400            0      483.314       25.945       66.855
      233        1.477        5.578            0      483.801       39.794       63.717
      234        1.495        5.382            0      482.941       54.773       70.028
      235        1.450        5.520            0      480.714       35.974       65.916
      236        1.531        5.444            0      479.218       46.417       75.623
