  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      231        1.078        5.345            0      417.453       34.172      119.118
      232        1.123        5.475            0      419.006       21.972      119.823
      233        1.057        5.447            0      416.465       33.704      123.789
      234        0.975        5.440            0      416.448       31.315      124.080
      235        0.826        5.342            0      415.897       33.426      125.048
      236        1.155        5.403            0      418.459       31.165      125.361
      237        1.071        5.428            0      418.426       32.608      120.550
      238        0.815        5.303            0      416.829       27.148      114.447
      239        1.097        5.392            0      418.694       32.549      119.361
      240        1.085        5.409            0      416.639       35.064      114.208
      241        1.076        5.475            0      418.718       22.403      122.966
      242        0.980        5.370            0      416.001       46.625      116.741
      243        1.023        5.367            0      418.542       28.808      112.534
      244        0.981        5.437            0      417.007       39.108      120.856
      245        1.051        5.426            0      417.245       43.866      119.579
      246        1.273        5.295            0      413.625       29.489      118.352
      247        1.407        5.487            0      417.557       31.602      119.731
      248        1.259        5.359            0      416.739       33.635      119.246
      249        1.075        5.357            0      418.212       40.819      110.368
      250        0.915        5.323            0      417.911       31.639      123.188
      251        0.847        5.337            0      419.015       34.810      121.916
      252        0.768        5.214            0      417.484       41.448      115.624
      253        1.152        5.239            0      419.695       50.420      119.425
      254        1.138        5.092            0      415.618       41.806      115.437
      255        0.986        5.272            0      419.108       45.635      127.352
      256        0.860        5.188            0      417.886       33.474      117.134
      257        1.177        5.161            0      418.543       55.330      111.007
      258        1.139        5.097            0      414.122       45.777      115.509
      259        1.064        5.063            0      411.761       39.848      120.843
      260        0.966        5.142            0      415.715       47.619      118.787
      261        0.878        5.241            0      419.935       40.329      112.459
      262        0.861        5.106            0      415.997       41.435      110.978
      263        1.119        5.221            0      417.583       51.177      113.852
      264        0.813        5.146            0      414.933       46.155      118.104
      265        0.658        5.293            0      418.379       46.259      120.458
      266        0.960        5.141            0      418.570       46.045      115.847
      267        0.783        5.287            0      415.838       52.251      118.951
      268        0.954        5.165            0      416.973       44.341      111.345
      269        0.916        5.171            0      416.332       51.099      112.629
      270        0.887        5.182            0      417.149       41.899      121.472
      271        0.678        5.189            0      414.555       50.184      128.490
      272        0.854        5.245            0      419.291       46.164      109.791
      273        1.117        5.133            0      418.139       44.484      119.835
      274        0.984        5.088            0      418.677       44.976      120.214
      275        0.726        5.171            0      415.672       44.071      114.787
      276        0.925        5.048            0      412.794       38.722      120.778
      277        1.021        5.143            0      418.054       44.950      115.445
      278        1.263        5.072            0      415.712       48.214      112.472
      279        1.007        5.215            0      415.891       54.545      120.271
      280        0.929        5.135            0      417.442       50.225      122.704
      281        0.692        5.140            0      414.537       44.684      118.117
      282        0.902        5.161            0      415.630       52.011      120.696
      283        0.853        5.043            0      418.288       40.441      118.508
      284        0.935        5.107            0      417.983       44.186      118.754
      285        0.856        5.234            0      414.005       38.141      119.830
      286        0.962        5.258            0      417.593       44.105      125.908
      287        1.049        5.227            0      419.839       43.837      118.778
      288        0.916        5.343            0      419.023       38.123      115.672
      289        1.112        5.161            0      414.603       35.039      113.426
      290        0.872        5.168            0      416.589       28.474      122.225
      291        1.245        5.181            0      412.558       31.266      121.601
      292        1.195        5.267            0      418.128       46.942      119.986
      293        0.874        5.383            0      415.650       49.563      120.584
      294        0.784        5.253            0      421.392       56.366      123.201
      295        0.705        5.247            0      421.046       60.863      120.948
      296        0.954        5.178            0      416.421       50.669      120.632
      297        0.878        5.223            0      417.962       54.071      121.997
      298        0.853        5.232            0      422.032       52.104      124.745
      299        0.918        5.258            0      417.540       60.020      113.647
      300        1.176        5.277            0      417.794       38.010      119.542
      301        0.990        5.233            0      419.826       32.718      122.210
      302        0.955        5.278            0      418.117       40.556      117.465
      303        0.781        5.168            0      422.455       35.064      126.360
      304        1.066        5.121            0      414.496       26.067      122.663
      305        0.914        5.311            0      420.385       32.625      122.809
      306        0.451        5.233            0      419.152       45.380      122.866
      307        0.957        5.280            0      419.136       26.494      119.346
      308        1.050        5.337            0      418.129       34.128      121.440
      309        1.242        5.235            0      420.815       28.668      123.612
